,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
147,1,3,F,16.0,0,0,7.7333,Q,Third,woman,False,C,Queenstown,yes,True
148,0,3,M,30.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
149,0,3,M,28.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True
150,0,3,M,28.0,8,2,69.55,S,Third,man,True,C,Southampton,no,False
151,0,3,M,44.0,0,1,16.1,S,Third,man,True,C,Southampton,no,False
152,1,2,F,40.0,0,0,15.75,S,Second,woman,False,C,Southampton,yes,True
153,0,3,M,26.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True
154,0,3,M,17.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True
155,0,3,M,1.0,4,1,39.6875,S,Third,child,False,C,Southampton,no,False
156,1,3,M,9.0,0,2,20.525,S,Third,child,False,C,Southampton,yes,False
157,1,1,F,28.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
158,0,3,F,45.0,1,4,27.9,S,Third,woman,False,C,Southampton,no,False
159,0,1,M,28.0,0,0,25.925,S,First,man,True,C,Southampton,no,True
160,0,3,M,28.0,0,0,56.4958,S,Third,man,True,C,Southampton,no,True
161,0,1,M,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True
162,0,3,M,4.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False
163,1,3,F,1.0,1,1,11.1333,S,Third,child,False,C,Southampton,yes,False
164,0,1,M,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True
165,0,3,M,18.0,1,1,7.8542,S,Third,man,True,C,Southampton,no,False
166,0,3,M,28.0,3,1,25.4667,S,Third,man,True,C,Southampton,no,False
167,0,1,F,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True
168,0,2,M,30.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
169,0,3,M,36.0,0,0,0.0,S,Third,man,True,C,Southampton,no,True
170,0,3,F,28.0,8,2,69.55,S,Third,woman,False,C,Southampton,no,False
171,0,2,M,28.0,0,0,15.05,C,Second,man,True,C,Cherbourg,no,True
172,0,3,M,9.0,4,2,31.3875,S,Third,child,False,C,Southampton,no,False
173,1,2,M,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
174,1,3,F,4.0,0,2,22.025,S,Third,child,False,C,Southampton,yes,False
175,0,1,M,28.0,0,0,50.0,S,First,man,True,A,Southampton,no,True
176,1,3,F,28.0,1,0,15.5,Q,Third,woman,False,C,Queenstown,yes,False
177,1,1,M,45.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True
178,0,3,M,40.0,1,1,15.5,Q,Third,man,True,C,Queenstown,no,False
179,0,3,M,36.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
180,1,2,F,32.0,0,0,13.0,S,Second,woman,False,C,Southampton,yes,True
181,0,2,M,19.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
182,1,3,F,19.0,1,0,7.8542,S,Third,woman,False,C,Southampton,yes,False
183,1,2,M,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
184,1,1,F,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True
185,1,1,F,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True
186,0,3,M,42.0,0,1,8.4042,S,Third,man,True,C,Southampton,no,False
187,0,2,F,24.0,0,0,13.0,S,Second,woman,False,C,Southampton,no,True
188,0,3,M,28.0,0,0,9.5,S,Third,man,True,C,Southampton,no,True
189,0,3,M,34.0,0,0,6.4958,S,Third,man,True,C,Southampton,no,True
190,0,3,M,46.0,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True
191,1,3,M,18.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True
192,0,3,F,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False
193,0,3,M,32.0,1,0,15.85,S,Third,man,True,C,Southampton,no,False
194,1,3,M,26.0,0,0,18.7875,C,Third,man,True,C,Cherbourg,yes,True
195,1,3,F,16.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True
196,1,1,M,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True
197,0,3,M,24.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True
198,1,2,F,35.0,0,0,21.0,S,Second,woman,False,C,Southampton,yes,True
199,0,3,M,22.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True
200,0,3,M,28.0,1,0,7.75,Q,Third,man,True,C,Queenstown,no,False
201,1,1,F,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
202,1,3,F,27.0,0,0,7.925,S,Third,woman,False,C,Southampton,yes,True
203,0,2,M,42.0,1,0,27.0,S,Second,man,True,C,Southampton,no,False
204,1,1,F,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True
205,0,2,M,30.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
206,1,3,M,16.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True
207,0,2,M,27.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
208,0,3,M,51.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
209,1,1,M,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False
210,0,3,M,22.0,0,0,9.35,S,Third,man,True,C,Southampton,no,True
211,1,2,M,19.0,0,0,10.5,S,Second,man,True,C,Southampton,yes,True
212,0,3,M,20.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True
213,0,2,M,18.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
214,0,3,F,28.0,3,1,25.4667,S,Third,woman,False,C,Southampton,no,False
215,1,1,F,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False
216,0,3,M,29.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True
217,0,2,M,59.0,0,0,13.5,S,Second,man,True,C,Southampton,no,True
218,1,3,F,5.0,4,2,31.3875,S,Third,child,False,C,Southampton,yes,False
219,0,2,M,24.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
220,0,3,F,28.0,0,0,7.55,S,Third,woman,False,C,Southampton,no,True
221,0,2,M,44.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False
222,1,2,F,8.0,0,2,26.25,S,Second,child,False,C,Southampton,yes,False
223,0,2,M,19.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
224,0,2,M,33.0,0,0,12.275,S,Second,man,True,C,Southampton,no,True
225,0,3,F,28.0,1,0,14.4542,C,Third,woman,False,C,Cherbourg,no,False
226,0,2,M,29.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
227,0,3,M,22.0,0,0,7.125,S,Third,man,True,C,Southampton,no,True
228,0,3,M,30.0,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True
229,0,1,M,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False
230,0,3,F,25.0,0,0,7.775,S,Third,woman,False,C,Southampton,no,True
231,1,2,F,24.0,0,2,14.5,S,Second,woman,False,C,Southampton,yes,False
232,1,1,M,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False
233,0,2,M,54.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False
234,0,3,M,28.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True
235,0,3,F,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False
236,0,1,M,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True
237,0,3,M,30.0,1,0,16.1,S,Third,man,True,C,Southampton,no,False
238,0,3,F,41.0,0,2,20.2125,S,Third,woman,False,C,Southampton,no,False
239,1,3,F,29.0,0,2,15.2458,C,Third,woman,False,C,Cherbourg,yes,False
240,1,1,F,28.0,0,0,79.2,C,First,woman,False,C,Cherbourg,yes,True
241,1,1,F,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
242,1,1,F,35.0,0,0,512.3292,C,First,woman,False,C,Cherbourg,yes,True
243,1,2,F,50.0,0,1,26.0,S,Second,woman,False,C,Southampton,yes,False
244,1,3,M,3.0,4,2,31.3875,S,Third,child,False,C,Southampton,yes,False
245,0,1,M,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False
246,0,1,M,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True
247,0,3,F,28.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,no,True
248,0,2,M,36.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
249,0,3,M,16.0,4,1,39.6875,S,Third,man,True,C,Southampton,no,False
250,1,3,M,25.0,1,0,7.775,S,Third,man,True,C,Southampton,yes,False
251,1,1,F,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False
252,1,1,F,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True
253,0,1,M,28.0,0,0,31.0,S,First,man,True,C,Southampton,no,True
254,1,3,M,25.0,0,0,0.0,S,Third,man,True,C,Southampton,yes,True
255,1,2,F,41.0,0,1,19.5,S,Second,woman,False,C,Southampton,yes,False
256,0,1,M,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False
257,1,1,F,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
258,0,3,F,45.0,0,0,7.75,S,Third,woman,False,C,Southampton,no,True
259,0,2,M,28.0,0,0,0.0,S,Second,man,True,C,Southampton,no,True
260,0,3,M,7.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False
261,1,3,F,35.0,1,1,20.25,S,Third,woman,False,C,Southampton,yes,False
262,0,3,M,65.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True
263,0,3,M,28.0,0,0,7.8542,S,Third,man,True,C,Southampton,no,True
264,0,3,M,16.0,0,0,9.5,S,Third,man,True,C,Southampton,no,True
265,1,3,M,19.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True
266,0,1,M,28.0,0,0,26.0,S,First,man,True,A,Southampton,no,True
267,0,3,M,33.0,0,0,8.6625,C,Third,man,True,C,Cherbourg,no,True
268,1,3,M,30.0,0,0,9.5,S,Third,man,True,C,Southampton,yes,True
269,0,3,M,22.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
270,1,2,M,42.0,0,0,13.0,S,Second,man,True,C,Southampton,yes,True
271,1,3,F,22.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True
272,1,1,F,26.0,0,0,78.85,S,First,woman,False,C,Southampton,yes,True
273,1,1,F,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False
274,0,2,M,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True
275,0,3,F,24.0,0,0,8.85,S,Third,woman,False,C,Southampton,no,True
276,0,3,M,24.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
277,0,3,M,24.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True
278,0,1,F,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False
279,1,1,M,28.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True
280,1,1,F,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False
281,1,3,M,28.0,2,0,23.25,Q,Third,man,True,C,Queenstown,yes,False
282,0,3,M,19.0,0,0,0.0,S,Third,man,True,C,Southampton,no,True
283,1,2,F,28.0,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True
284,1,1,M,1.0,1,2,151.55,S,First,child,False,C,Southampton,yes,False
285,1,1,F,28.0,0,0,110.8833,C,First,woman,False,C,Cherbourg,yes,True
286,1,1,F,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False
287,0,2,M,30.0,1,0,24.0,C,Second,man,True,C,Cherbourg,no,False
288,1,1,F,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True
289,1,1,F,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True
290,1,1,F,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
291,0,2,F,26.0,1,1,26.0,S,Second,woman,False,C,Southampton,no,False
292,0,2,M,43.0,1,1,26.25,S,Second,man,True,C,Southampton,no,False
293,1,3,F,26.0,0,0,7.8542,S,Third,woman,False,C,Southampton,yes,True
294,1,2,F,24.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False
295,0,2,M,54.0,0,0,14.0,S,Second,man,True,C,Southampton,no,True
296,1,1,F,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False
297,1,1,F,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False
298,0,3,M,27.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
299,1,2,F,30.0,0,0,12.35,Q,Second,woman,False,C,Queenstown,yes,True
300,1,2,F,22.0,1,1,29.0,S,Second,woman,False,C,Southampton,yes,False
301,1,1,F,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True
302,0,3,M,61.0,0,0,6.2375,S,Third,man,True,C,Southampton,no,True
303,1,2,F,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True
304,1,3,F,31.0,1,1,20.525,S,Third,woman,False,C,Southampton,yes,False
305,1,1,F,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
306,1,3,F,28.0,2,0,23.25,Q,Third,woman,False,C,Queenstown,yes,False
307,0,1,M,46.0,0,0,28.5,S,First,man,True,C,Southampton,no,True
308,0,1,M,38.0,0,1,153.4625,S,First,man,True,C,Southampton,no,False
309,0,3,M,16.0,2,0,18.0,S,Third,man,True,C,Southampton,no,False
310,1,1,F,28.0,1,0,133.65,S,First,woman,False,C,Southampton,yes,False
311,0,1,M,29.0,1,0,66.6,S,First,man,True,C,Southampton,no,False
312,1,1,F,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True
313,1,3,M,45.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True
314,0,1,M,45.0,0,0,35.5,S,First,man,True,C,Southampton,no,True
315,1,2,M,2.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
316,1,1,F,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
317,0,2,M,28.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
318,0,2,M,36.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
319,1,2,F,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,yes,True
320,1,2,F,40.0,0,0,13.0,S,Second,woman,False,C,Southampton,yes,True
321,1,3,F,28.0,1,0,16.1,S,Third,woman,False,C,Southampton,yes,False
322,1,3,M,3.0,1,1,15.9,S,Third,child,False,C,Southampton,yes,False
323,0,3,M,42.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True
324,0,3,M,23.0,0,0,9.225,S,Third,man,True,C,Southampton,no,True
325,0,1,M,28.0,0,0,35.0,S,First,man,True,C,Southampton,no,True
326,0,3,M,15.0,1,1,7.2292,C,Third,child,False,C,Cherbourg,no,False
327,0,3,M,25.0,1,0,17.8,S,Third,man,True,C,Southampton,no,False
328,1,1,F,22.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
329,0,2,F,38.0,0,0,13.0,S,Second,woman,False,C,Southampton,no,True
330,0,3,M,40.0,1,4,27.9,S,Third,man,True,C,Southampton,no,False
331,0,2,M,29.0,1,0,27.7208,C,Second,man,True,C,Cherbourg,no,False
332,0,3,F,45.0,0,1,14.4542,C,Third,woman,False,C,Cherbourg,no,False
333,0,3,M,35.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True
334,0,3,M,30.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True
